repo,stars,forks,repo_age_days,days_since_last_commit,commits_last_12m,commit_frequency,contributors_count,releases_count,closed_issues_ratio,network_dependents
https://github.com/argotorg/solidity,25584,6100,3858,0,576,0.1493,820,118,0.8915,19
https://github.com/ethereum/EIPs,13800,5910,3788,0,1118,0.295143,1015,0,0.7014,19
https://github.com/OpenZeppelin/openzeppelin-contracts,27029,12409,3508,1,264,0.075257,494,105,0.8526,308084
https://github.com/ethereum/go-ethereum,50903,21835,4457,0,1287,0.288759,1220,228,0.9569,27058
https://github.com/ethereum/consensus-specs,3909,1233,2728,0,635,0.232771,221,120,0.9263,0
https://github.com/NomicFoundation/hardhat,8440,1701,2887,0,3264,1.130585,426,561,0.8202,354177
https://github.com/OffchainLabs/prysm,3735,1278,2980,0,1035,0.347315,313,171,0.879,6
https://github.com/ethers-io/ethers.js,8650,2110,3524,25,54,0.015323,1,230,0.7856,680396
https://github.com/ethereum/execution-apis,1101,485,1728,1,91,0.052662,90,13,0.4917,5
https://github.com/foundry-rs/foundry,10201,2432,1644,0,1742,1.059611,649,659,0.8982,0
https://github.com/erigontech/erigon,3538,1485,2479,0,3175,1.280758,1081,238,0.8946,1
https://github.com/supranational/blst,554,221,2087,22,62,0.029708,26,18,0.8246,7380
https://github.com/sigp/lighthouse,3407,975,2804,2,547,0.195078,238,121,0.8038,0
https://github.com/NethermindEth/nethermind,1530,658,3121,0,2218,0.71067,242,354,0.8202,0
https://github.com/remix-project-org/remix-project,2901,1306,2181,0,2676,1.22696,308,142,0.6889,1
https://github.com/flashbots/mev-boost,1409,281,1574,15,36,0.022872,49,38,0.7246,15
https://github.com/ethereum/web3.py,5498,1704,3617,35,122,0.03373,310,0,0.9184,0
https://github.com/Consensys/teku,762,363,2741,0,677,0.24699,121,125,0.9132,0
https://github.com/hyperledger/besu,1776,1019,2379,0,881,0.370324,264,165,0.0,0
https://github.com/libp2p/libp2p,2969,289,3552,127,8,0.002252,24,0,0.7439,0
https://github.com/flashbots/mev-boost-relay,491,142,1390,8,27,0.019424,30,32,0.5504,7
https://github.com/wevm/viem,3419,1357,1328,1,958,0.721386,674,589,0.959,97111
https://github.com/argotorg/sourcify,908,515,2512,1,389,0.154857,175,320,0.9021,91
https://github.com/ChainSafe/lodestar,1403,438,2818,0,1060,0.376153,148,236,0.8912,183
https://github.com/wighawag/hardhat-deploy,1264,321,2182,3,190,0.087076,98,0,0.9974,50204
https://github.com/ethereum/js-ethereum-cryptography,758,112,2358,88,10,0.004241,12,25,0.9667,613498
https://github.com/paradigmxyz/reth,5467,2333,1272,0,5516,4.336478,769,88,0.9586,0
https://github.com/safe-global/safe-smart-account,2119,1117,3111,5,73,0.023465,70,17,0.0,1929
https://github.com/ethereum/py_ecc,225,88,3160,83,15,0.004747,28,3,0.4,2341
https://github.com/paulmillr/noble-curves,890,86,1193,57,345,0.289187,23,44,0.9527,395233
https://github.com/vyperlang/vyper,5172,884,3406,1,181,0.053142,248,60,0.6962,1692
https://github.com/herumi/mcl,518,169,3963,6,153,0.038607,24,0,0.9888,7
https://github.com/blockscout/blockscout,4437,3007,2979,0,944,0.316885,187,121,0.9647,0
https://github.com/ipsilon/evmone,973,329,2652,1,269,0.101433,28,25,0.5132,0
https://github.com/LFDT-web3j/web3j,5387,1763,3474,41,110,0.031664,261,121,0.8892,0
https://github.com/l2beat/l2beat,649,624,1812,0,4225,2.331678,334,0,0.7442,0
https://github.com/ethereum-lists/chains,9827,7970,2637,6,314,0.119075,1861,0,0.9297,0
https://github.com/eth-infinitism/account-abstraction,1884,817,1506,44,12,0.007968,27,6,0.9759,11179
https://github.com/scaffold-eth/scaffold-eth-2,1990,1333,1268,7,54,0.042587,62,18,0.9589,0
https://github.com/arkworks-rs/algebra,849,378,2010,23,45,0.022388,108,1,0.4651,37
https://github.com/Vectorized/solady,3281,461,1333,70,102,0.076519,65,16,0.7772,4875
https://github.com/status-im/nimbus-eth2,646,309,2790,9,735,0.263441,117,106,0.8238,0
https://github.com/taikoxyz/taiko-mono,4579,2280,1321,0,1140,0.862983,310,51,0.9305,0
https://github.com/protofire/solhint,1119,196,3067,0,153,0.049886,80,39,0.9762,59236
https://github.com/erigontech/silkworm,317,83,2098,293,85,0.040515,31,15,0.6637,0
https://github.com/Consensys/gnark-crypto,589,226,2178,1,101,0.046373,39,28,0.7202,12424
https://github.com/Nethereum/Nethereum,2244,743,3760,1,299,0.079521,101,82,0.8668,2577
https://github.com/flashbots/rbuilder,530,193,617,0,298,0.482982,60,39,0.363,0
https://github.com/argotorg/hevm,329,74,1289,1,500,0.387898,118,16,0.7597,0
https://github.com/DefiLlama/DefiLlama-Adapters,1137,6994,1943,0,5345,2.750901,5015,1,0.7347,0
https://github.com/Plonky3/Plonky3,761,392,1076,0,407,0.378253,107,79,0.7153,0
https://github.com/ChainSafe/bls,106,24,2210,96,1,0.000452,19,19,0.5714,399
https://github.com/ApeWorX/ape,1029,173,1891,14,101,0.053411,88,174,0.7798,531
https://github.com/ethstaker/eth-docker,560,272,2002,1,354,0.176823,84,153,0.977,0
https://github.com/Certora/CertoraProver,290,31,380,2,822,2.163158,25,37,0.2647,0
https://github.com/DefiLlama/chainlist,2954,3383,1465,1,629,0.429352,756,0,0.7289,1
https://github.com/dappnode/DAppNode,623,116,2933,1,41,0.013979,27,95,0.845,0
https://github.com/intellij-solidity/intellij-solidity,1101,101,3304,25,103,0.031174,33,43,0.9208,0
https://github.com/wealdtech/ethdo,319,121,2310,147,15,0.006494,30,83,0.9247,3
https://github.com/succinctlabs/sp1,1605,623,827,0,1032,1.247884,110,59,0.7986,0
https://github.com/lambdaclass/lambdaworks,724,189,1149,0,140,0.121845,66,17,0.6429,0
https://github.com/a16z/helios,2126,439,1308,11,111,0.084862,96,39,0.6496,40
https://github.com/TrueBlocks/trueblocks-core,1094,220,3263,15,299,0.091633,71,23,0.9912,27
https://github.com/shazow/whatsabi,1143,90,1266,5,56,0.044234,15,43,0.6132,201
https://github.com/ethpandaops/ethereum-helm-charts,185,93,1629,6,71,0.043585,21,594,0.5357,0
https://github.com/succinctlabs/op-succinct,209,127,643,0,289,0.449456,25,35,0.5802,0
https://github.com/skalenetwork/libBLS,155,45,2567,14,359,0.139852,18,122,0.8824,2
https://github.com/smartcontracts/simple-optimism-node,416,170,1383,8,11,0.007954,9,3,0.8131,0
https://github.com/EspressoSystems/jellyfish,513,177,1523,1,56,0.03677,25,4,0.6471,0
https://github.com/0xMiden/miden-vm,729,265,1642,0,820,0.499391,106,47,0.8217,34
https://github.com/alloy-rs/alloy,1249,588,1058,0,1014,0.958412,286,112,0.8506,2184
https://github.com/argotorg/fe,1716,210,2404,1,1409,0.586106,55,34,0.748,0
https://github.com/lambdaclass/ethrex,852,178,649,0,1842,2.838213,78,23,0.6639,0
https://github.com/ethpandaops/ethereum-package,453,326,1230,0,292,0.237398,84,27,0.8414,0
https://github.com/a16z/halmos,979,98,1184,216,63,0.053209,17,34,0.633,1350
https://github.com/NethermindEth/juno,448,227,1513,1,476,0.314607,88,101,0.9379,354
https://github.com/grandinetech/grandine,253,69,1715,2,409,0.238484,17,20,0.5385,0
https://github.com/otterscan/otterscan,1405,209,1713,36,153,0.089317,15,40,0.6291,0
https://github.com/holiman/goevmlab,303,61,2391,16,34,0.01422,17,0,0.902,208
https://github.com/Cyfrin/aderyn,738,107,927,2,295,0.318231,26,74,0.9531,10
https://github.com/Commit-Boost/commit-boost-client,133,69,644,0,86,0.13354,29,21,0.7083,0
https://github.com/succinctlabs/rsp,158,86,604,4,57,0.094371,24,5,1.0,0
https://github.com/edb-rs/edb,357,42,636,11,298,0.468553,5,1,0.56,0
https://github.com/OffchainLabs/stylus-sdk-rs,320,121,973,1,473,0.486125,33,21,0.4805,0
https://github.com/evmts/tevm-monorepo,438,50,1120,29,395,0.352679,34,3240,0.9324,2
https://github.com/risc0/risc0-ethereum,219,98,764,16,126,0.164921,53,32,0.9204,33
https://github.com/vyperlang/titanoboa,305,72,1355,1,29,0.021402,28,15,0.5028,119
https://github.com/aestus-relay/mev-boost-relay,1,2,1227,148,28,0.02282,33,0,0.0,0
https://github.com/ethstaker/ethstaker-deposit-cli,37,35,715,1,163,0.227972,35,14,0.8017,0
https://github.com/ethpandaops/checkpointz,160,39,1325,2,16,0.012075,13,112,0.2099,0
https://github.com/powdr-labs/powdr,484,126,1159,1,715,0.616911,40,5,0.9127,0
https://github.com/dl-solarity/solidity-lib,392,43,1407,36,73,0.051883,23,77,0.7273,73
https://github.com/swiss-knife-xyz/swiss-knife,229,77,782,1,226,0.289003,25,0,0.534,77
https://github.com/axiom-crypto/snark-verifier,106,39,1248,197,9,0.007212,9,7,0.5556,269
https://github.com/deepfunding/dependency-graph,23,6,456,62,22,0.048246,4,0,0.5,0
https://github.com/ethdebug/format,77,12,1212,1,82,0.067657,7,0,0.1915,1
https://github.com/lambdaclass/lambda_ethereum_consensus,108,42,974,239,44,0.045175,24,1,0.7527,0
https://github.com/argotorg/act,267,47,2370,8,326,0.137553,16,2,0.5467,1
