repo,package,monthly_downloads,weekly_downloads
ethers-io/ethers.js,ethers,10645916,2828095
wevm/viem,viem,11896237,3016661
nomicfoundation/hardhat,hardhat,1426379,413938
openzeppelin/openzeppelin-contracts,@openzeppelin/contracts,2722767,776520
protofire/solhint,solhint,517658,152179
wighawag/hardhat-deploy,hardhat-deploy,277158,74285
ethereum/js-ethereum-cryptography,@ethereumjs/util,7540779,1905684
paulmillr/noble-curves,@noble/curves,52353448,13969459
chainsafe/lodestar,@chainsafe/lodestar,14245,1666
remix-project-org/remix-project,@remix-project/remixd,4134,900
evmts/tevm-monorepo,tevm,12140,2921
dl-solarity/solidity-lib,@solarity/solidity-lib,1119,108
vectorized/solady,solady,180494,50277
eth-infinitism/account-abstraction,@account-abstraction/contracts,177191,48580
safe-global/safe-smart-account,@safe-global/safe-contracts,7272,2818
chainsafe/bls,@chainsafe/bls,22738,6207
ethereum-lists/chains,@ethereum-lists/chains,0,0
scaffold-eth/scaffold-eth-2,create-eth,3536,931
